trial_id,temp,pH,latency_ms,success,seed
238,32.0,7.4,1.426024950826134,1,42
239,32.0,7.4,1.3537006498190594,1,42
240,32.0,7.4,1.235087199849759,1,42
241,32.0,7.4,1.417448629109047,1,42
242,32.0,7.4,1.3331957393391338,1,42
243,32.0,7.4,0.9736028496576674,1,42
244,32.0,7.4,1.411286131427111,1,42
245,32.0,7.4,1.2397802694680975,1,42
246,32.0,7.4,0.9129525794150404,1,42
247,32.0,7.4,1.3474932029383417,1,42
248,32.0,7.4,1.2577780024056748,1,42
249,32.0,7.4,1.2101641593602772,1,42
250,32.0,7.4,1.321972532938507,1,42
251,32.0,7.4,1.211338467112669,1,42
252,32.0,7.4,1.2677604810450473,1,42
253,32.0,7.4,1.1952504182206187,1,42
254,32.0,7.4,1.201812837977065,1,42
255,32.0,7.4,1.0603922299139343,1,42
256,32.0,7.4,1.2794157187398103,1,42
257,32.0,7.4,1.495474759964968,1,42
258,32.0,7.4,1.1681711822614713,1,42
259,32.0,7.4,1.0997814868195905,1,42
260,32.0,7.4,1.1351347803606653,1,42
261,32.0,7.4,1.0145127170973267,1,42
262,32.0,7.4,1.1857913673273055,1,42
263,32.0,7.4,1.1981398716247584,1,42
264,32.0,7.4,1.2180009021445137,1,42
265,32.0,7.4,1.3295468892901199,1,42
266,32.0,7.4,1.1266796855889907,1,42
267,32.0,7.4,1.136753846371287,1,42
268,32.0,7.4,1.0429133443043852,1,42
269,32.0,7.4,1.1258305043357386,1,42
270,32.0,7.4,0.9100214373527955,1,42
271,32.0,7.4,1.329553482052953,1,42
272,32.0,7.4,1.0760121463890708,1,42
273,32.0,7.4,1.078171786331842,1,42
274,32.0,7.4,1.2231491434966344,1,42
275,32.0,7.4,1.1004697721213008,1,42
276,32.0,7.4,1.0875074872263064,1,42
277,32.0,7.4,1.0659045032158934,1,42
278,32.0,7.4,1.1219916697500905,1,42
279,32.0,7.4,1.242273631363933,1,42
280,32.0,7.4,1.3377086012365993,1,42
281,32.0,7.4,1.0917210640946602,1,42
282,32.0,7.4,1.2117386579071738,1,42
283,32.0,7.4,1.1514721566405561,1,42
284,32.0,7.4,1.430267139095721,1,42
285,32.0,7.4,1.404585977556318,1,42
286,32.0,7.4,1.0316659418909975,1,42
287,32.0,7.4,1.2160100034096673,1,42
288,32.0,7.4,1.2297495219796466,1,42
289,32.0,7.4,1.1490453690833313,1,42
290,32.0,7.4,1.1259037341914013,1,42
291,32.0,7.4,1.0979778423285864,1,42
292,32.0,7.4,1.137044784602057,1,42
293,32.0,7.4,0.8672030906397754,1,42
294,32.0,7.4,,0,42
295,32.0,7.4,1.3065666645807181,1,42
296,32.0,7.4,1.1326886266621663,1,42
297,32.0,7.4,1.3163189791163905,1,42
298,32.0,7.4,1.2258853227995155,1,42
299,32.0,7.4,1.3157670384081372,1,42
300,32.0,7.4,1.1208544014721962,1,42
301,32.0,7.4,1.290846470335337,1,42
302,32.0,7.4,0.9878463415680514,1,42
303,32.0,7.4,1.2188211919937677,1,42
304,32.0,7.4,1.3002189929274914,1,42
305,32.0,7.4,0.9831627366194107,1,42
306,32.0,7.4,1.1223414123269606,1,42
307,32.0,7.4,1.218726593190587,1,42
308,32.0,7.4,1.3509042074489586,1,42
309,32.0,7.4,1.1326720111142732,1,42
310,32.0,7.4,1.2852232026151829,1,42
311,32.0,7.4,1.4109042804779708,1,42
312,32.0,7.4,1.291738796482993,1,42
313,32.0,7.4,1.184204431985683,1,42
314,32.0,7.4,1.2633531386028292,1,42
315,32.0,7.4,1.1289373652473969,1,42
316,32.0,7.4,1.2241288456697212,1,42
317,32.0,7.4,1.1907338379935175,1,42
318,32.0,7.4,1.2587294148063704,1,42
319,32.0,7.4,1.1554182928846362,1,42
320,32.0,7.4,1.2665657633471625,1,42
321,32.0,7.4,1.1541628784264597,1,42
322,32.0,7.4,1.3322721217576736,1,42
323,32.0,7.4,1.1672526566871793,1,42
324,32.0,7.4,0.9312501439976141,1,42
325,32.0,7.4,1.0732345296526595,1,42
326,32.0,7.4,1.2147318395233717,1,42
327,32.0,7.4,1.443279474042114,1,42
328,32.0,7.4,1.3265213993058618,1,42
329,32.0,7.4,0.9074016810421756,1,42
330,32.0,7.4,1.0083790295083364,1,42
331,32.0,7.4,1.3698523866525227,1,42
332,32.0,7.4,1.299418038738351,1,42
333,32.0,7.4,1.5251939181537728,1,42
334,32.0,7.4,1.1488729269399414,1,42
335,32.0,7.4,1.095047200593238,1,42
336,32.0,7.4,1.222057942374231,1,42
337,32.0,7.4,1.146350861296021,1,42
338,32.0,7.4,1.3552114313636934,1,42
339,32.0,7.4,1.1418903802918465,1,42
340,32.0,7.4,1.1749923927909904,1,42
341,32.0,7.4,1.0772764676681712,1,42
342,32.0,7.4,1.3165391695412014,1,42
343,32.0,7.4,1.0850782051879841,1,42
344,32.0,7.4,1.2691824192859325,1,42
345,32.0,7.4,1.4708976516042547,1,42
346,32.0,7.4,0.9670074172282104,1,42
347,32.0,7.4,1.4184134168513973,1,42
348,32.0,7.4,1.2507849201586847,1,42
349,32.0,7.4,1.0570512900343028,1,42
350,32.0,7.4,1.2272723745711072,1,42
351,32.0,7.4,1.3122354113362633,1,42
352,32.0,7.4,1.103230975301697,1,42
353,32.0,7.4,1.2771819712511947,1,42
